Victim Name(s),Month,Year,County,State,Full Address,Latitude,Longitude,Race,Sex,Alleged Offense
Gaines Hall,April,1904,Autauga,AL,Autauga AL ,32.5791817,-86.4996546,Blk,Male,Assaulted woman (rape)
Walter Clayton,April,1908,Baldwin,AL,Baldwin AL ,30.6010744,-87.7763333,Blk,Male,Rape
George Ward,June,1885,Barbour,AL,Barbour AL ,31.8172896,-85.354965,Blk,Male,Murder
Iver Peterson,October,1911,Barbour,AL,Barbour AL ,31.8172896,-85.354965,Blk,Male,Attempted assault (rape)
William Jenkins,January,1922,Barbour,AL,Barbour AL ,31.8172896,-85.354965,Blk,Male,Insulted woman
John Davis,November,1886,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Assault woman (rape)
Unnamed Negro,June,1887,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Attm. Criminal Assault
Unnamed Negro,July,1893,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Murder
Unnamed Negro,September,1893,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Rape
Joseph James,December,1896,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Assaulted girl (rape)
James Jackson,February,1897,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Attempted rape
William Hill,June,1899,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Accomplice in murder
Joe Scott,June,1904,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Murder
Grant Richardson,October,1910,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Rape
Unnamed Negro,January,1917,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Attempted assault (rape)
James McMillan,June,1919,Bibb,AL,Bibb AL ,32.9562798,-87.1422895,Blk,Male,Unknown
Tobe Williams,July,1890,Blount,AL,Blount AL ,34.0145152,-86.4996546,Blk,Male,Criminal assault (rape)
Toby McGrady,October,1895,Bullock,AL,Bullock AL ,32.0573536,-85.7256372,Blk,Male,Rape
Will Scott,January,1907,Bullock,AL,Bullock AL ,32.0573536,-85.7256372,Blk,Male,Entered girl's room
Unnamed Negro,September,1891,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Murder
Unnamed Negro,September,1891,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Murder
James Hip,December,1892,Butler,AL,Butler AL ,32.0895908,-88.2219652,Unk,Male,Murder
Charles Kelly,December,1892,Butler,AL,Butler AL ,32.0895908,-88.2219652,Unk,Male,Murder
Samuel Smith,January,1894,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Attempted Murder
Mary Deane,April,1895,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Female,Murder
Martha Greene,April,1895,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Female,Murder
Alice Green,April,1895,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Female,Murder
Zeb Colley,April,1895,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Murder
John Rateler,April,1895,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Murder
Solomon Jones,July,1899,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Attm. Assault on woman
Frank Reeves,May,1901,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Attempted rape
Dock Hartley,January,1915,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Burglary
Select Reeves,October,1920,Butler,AL,Butler AL ,32.0895908,-88.2219652,Blk,Male,Murderous assault
John Brooks,October,1882,Calhoun,AL,Calhoun AL ,33.7701576,-85.80766,Blk,Male,Rape
Unnamed Negro,March,1892,Calhoun,AL,Calhoun AL ,33.7701576,-85.80766,Blk,Male,Attempted rape
Abernathy,October,1900,Calhoun,AL,Calhoun AL ,33.7701576,-85.80766,Blk,Male,Attempted assault (rape)
Unnamed Negro,October,1910,Calhoun,AL,Calhoun AL ,33.7701576,-85.80766,Blk,Male,Criminal assault (rape)
John Fitch,September,1896,Chambers,AL,Chambers AL ,32.9028048,-85.354965,Blk,Male,Attempted rape
John Anderson,October,1898,Chambers,AL,Chambers AL ,32.9028048,-85.354965,Blk,Male,Murder
John Kellogg,February,1898,Cherokee,AL,Cherokee AL ,34.7570342,-87.9728143,Blk,Male,Attempted rape
John Callow,March,1898,Cherokee,AL,Cherokee AL ,34.7570342,-87.9728143,Blk,Male,Attending white girl
Scipio Atchison,May,1885,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Threats to kill
Frank Griffin,March,1890,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Rape
Ray Porter,August,1891,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Murder
Lindsay Harper,July,1893,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Attempted assault (rape)
Lewis Hendricks,February,1894,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Rape & murder
Abram Seddon,February,1894,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Rape & murder
William George,February,1894,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Rape & murder
James Powell,June,1895,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Assaulting girl (rape)
Charles Young,March,1914,Chilton,AL,Chilton AL ,32.944392,-86.6611083,Blk,Male,Assault (rape) & robbery
Jack Turner,August,1882,Choctaw,AL,Choctaw AL ,32.0716631,-88.2461183,Blk,Male,Incendiarism
Harry Hinton,January,1892,Choctaw,AL,Choctaw AL ,32.0716631,-88.2461183,Blk,Male,Outlaw
GH Rose,May,1892,Choctaw,AL,Choctaw AL ,32.0716631,-88.2461183,Blk,Male,Attempted Rape
Wiley Campbell,June,1902,Choctaw,AL,Choctaw AL ,32.0716631,-88.2461183,Blk,Male,Attempted murder
Azariah Curtis,December,1912,Choctaw,AL,Choctaw AL ,32.0716631,-88.2461183,Blk,Male,Murder
Jordan,July,1921,Choctaw,AL,Choctaw AL ,32.0716631,-88.2461183,Blk,Male,Murder
Alexander Reed,December,1885,Clarke,AL,Clarke AL ,31.7002461,-87.7763333,Blk,Male,Murder
Tom Jackson,June,1912,Clarke,AL,Clarke AL ,31.7002461,-87.7763333,Blk,Male,Murder
Jesse Hatch,May,1915,Clarke,AL,Clarke AL ,31.7002461,-87.7763333,Blk,Male,Attacked woman (rape)
Archie Robinson,August,1919,Clarke,AL,Clarke AL ,31.7002461,-87.7763333,Blk,Male,Assault
Unnamed Negro,August,1919,Clarke,AL,Clarke AL ,31.7002461,-87.7763333,Blk,Male,Assault
Edward Prater,July,1892,Clay,AL,Clay AL ,33.7026013,-86.5997096,Blk,Male,Criminal assault (rape)
George Richardson,July,1897,Clay,AL,Clay AL ,33.7026013,-86.5997096,Blk,Male,Attempted rape
Ray Rolston,November,1909,Cleburne,AL,Cleburne AL ,33.6261707,-85.520024,Blk,Male,Criminal assault (rape)
John W Pennington,August,1901,Coffee,AL,Coffee AL ,31.4751172,-86.0121573,Blk,Male,Rape
George Ware,April,1883,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Murder
Jordan,May,1885,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Attempted assault (rape)
Oscar Coger,January,1888,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Attempted arson
Fayett Delaney,April,1894,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Arson
Emmet Delaney,April,1894,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Arson
Ed Felton,April,1894,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Arson
William Reynolds,April,1902,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Murder
Samuel Davenport,January,1909,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Barn-burning
William Bird,November,1918,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Threats to kill
George Whiteside,November,1918,Colbert,AL,Colbert AL ,34.7117567,-87.8942451,Blk,Male,Murder
Jordan Corbin,June,1883,Coosa,AL,Coosa AL ,32.8897772,-86.2196937,Blk,Male,Murder
Pedigree,February,1906,Covington,AL,Covington AL ,31.3066438,-86.4996546,Blk,Male,Rape
Neal Sanders,November,1907,Covington,AL,Covington AL ,31.3066438,-86.4996546,Blk,Male,Assaulted woman (rape)
Bush Withers,October,1910,Covington,AL,Covington AL ,31.3066438,-86.4996546,Blk,Male,Criminal assault (rape)
Reeves,October,1910,Covington,AL,Covington AL ,31.3066438,-86.4996546,Blk,Male,Rape & murder
Jim Green,February,1913,Covington,AL,Covington AL ,31.3066438,-86.4996546,Blk,Male,Murderous assault
John Womack,May,1918,Covington,AL,Covington AL ,31.3066438,-86.4996546,Blk,Male,Attempted rape
Jack Waters,January,1920,Covington,AL,Covington AL ,31.3066438,-86.4996546,Blk,Male,Attempted assault (rape)
Mack Segars,December,1893,Crenshaw,AL,Crenshaw AL ,31.6671872,-86.3376761,Blk,Male,Attempted assault (rape)
Charles Hurt,August,1899,Crenshaw,AL,Crenshaw AL ,31.6671872,-86.3376761,Blk,Male,Attempted assault (rape)
Sills Spinks,July,1920,Dale,AL,Dale AL ,31.4645298,-85.684578,Blk,Male,Murderous assault
Juster Jennings,July,1920,Dale,AL,Dale AL ,31.4645298,-85.684578,Blk,Male,Murderous assault
Henry Ivy,April,1882,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Murder
Jim Acoff,April,1882,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Murder
William Webb,February,1892,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Assaulted woman (rape)
Daniel Edwards,June,1893,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Rape
Benjamin Minter,December,1893,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Murder
Jim Wilkins,December,1893,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Murder
Joseph Givham,December,1893,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Murder
Isidore Mobley,August,1896,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Attempted murder
William Hunter,August,1896,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Attempted murder
Sam Ellis,March,1898,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Attempted murder
Edward Mays,May,1901,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Implicated in murder
Dock Mays,May,1901,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Implicated in murder
Robert Dawson,May,1901,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Implicated in murder
Edmund Bell,August,1908,Dallas,AL,Dallas AL ,32.2332138,-87.1422895,Blk,Male,Murder
Soloman Jackson,June,1898,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Murder
Louis Spier,June,1898,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Murder
Ham Thompson,June,1898,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Murder
Reese Thompson,June,1898,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Murder
Peter Louin,August,1899,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Murderous assault
Son of Peter Louin,August,1899,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Murderous assault
Zeb Floyd,September,1900,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Attempted rape
Wallace Townsend,October,1900,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Attempted rape
Bob White,July,1901,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Shot at a man
Berney,November,1912,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Injuring a girl
Ed Smith,January,1915,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Murder
William Smith,January,1915,Elmore,AL,Elmore AL ,32.5387448,-86.3149712,Blk,Male,Murder
Unnamed Negro,February,1912,Escambia,AL,Escambia AL ,31.1394734,-87.1422895,Blk,Male,Murder
Noah Dickson,May,1889,Etowah,AL,Etowah AL ,34.0455341,-86.0529604,Blk,Male,Attempted rape
Bunk Richardson,February,1906,Etowah,AL,Etowah AL ,34.0455341,-86.0529604,Blk,Male,Rape & murder
David Dunce,January,1888,Franklin,AL,Franklin AL ,32.4784706,-85.8024562,Ukn,Male,Murder
El Hudson,March,1891,Franklin,AL,Franklin AL ,32.4784706,-85.8024562,Blk,Male,Arson
Jeff Denzmore,March,1891,Franklin,AL,Franklin AL ,32.4784706,-85.8024562,Blk,Male,Arson
Unnamed Negro,May,1900,Geneva,AL,Geneva AL ,31.0329572,-85.8638242,Blk,Male,Criminal assault (rape)
Unnamed Negro,March,1907,Geneva,AL,Geneva AL ,31.0329572,-85.8638242,Blk,Male,Attempted assault (rape)
Joe Robertson,July,1884,Greene,AL,Greene AL ,32.9718107,-87.9334803,Blk,Male,Rape
Short,September,1884,Hale,AL,Hale AL ,32.7859102,-87.6186379,Blk,Male,Rape
Jack Myrick,August,1887,Henry,AL,Henry AL ,31.4469377,-85.1894045,Blk,Male,Assaulted woman (rape)
Ella Williams,August,1891,Henry,AL,Henry AL ,31.4469377,-85.1894045,Blk,Female,Arson
Lizzie Lowe,August,1891,Henry,AL,Henry AL ,31.4469377,-85.1894045,Blk,Female,Arson
Willis Lowe,August,1891,Henry,AL,Henry AL ,31.4469377,-85.1894045,Blk,Male,Arson
Belle Williams,August,1891,Henry,AL,Henry AL ,31.4469377,-85.1894045,Blk,Unk,Arson
Unnamed Negro,December,1913,Henry,AL,Henry AL ,31.4469377,-85.1894045,Blk,Male,Attempted assault (rape)
John Booker Davis,October,1893,Henry,AL,Henry AL ,31.4469377,-85.1894045,Blk,Male,Entered girl's room
John Roe,July,1900,Houston,AL,Houston AL ,34.1414925,-87.2580686,Blk,Male,Attempted rape
Henry McKinnney,July,1910,Houston,AL,Houston AL ,34.1414925,-87.2580686,Blk,Male,Entered girl's room
Samuel Lewis,April,1883,Indeterminant,AL,Indeterminant AL ,38.9959508,-77.0988323,Blk,Male,Murder
Will Davis,August,1911,Indeterminant,AL,Indeterminant AL ,38.9959508,-77.0988323,Blk,Male,Murder
Andy Hames,May,1895,Jackson,AL,Jackson AL ,31.5090521,-87.8944435,Blk,Male,Murder
John Smith,March,1897,Jackson,AL,Jackson AL ,31.5090521,-87.8944435,Blk,Male,Attempted assault (rape)
Andrew Dimms,June,1903,Jackson,AL,Jackson AL ,31.5090521,-87.8944435,Blk,Male,Attempted assault (rape)
Lewis Houston,November,1883,Jefferson,AL,Jefferson AL ,32.3859585,-87.9017188,Blk,Male,Attempted rape
